matrix_size,processes,time_ms
200,1,82.32
200,2,41.8279
200,4,20.9632
200,8,10.664
400,1,692.416
400,2,346.735
400,4,175.4
400,8,88.644
800,1,5063.61
800,2,2656.55
800,4,1555.51
800,8,925.443
1200,1,17401.4
1200,2,9037.3
1200,4,5401.98
1200,8,2785.75
1600,1,55374
1600,2,27975.7
1600,4,14035.8
1600,8,7213.48
2000,1,105364
2000,2,52809.1
2000,4,26745.6
2000,8,13654.7
